City Name,Program Name,State (full),Program Short Name,Call Volume,Calls per 1000 residents,Call Volume Data Year,Budget size,Call Categories,Responder Type,Operating Agency,Dispatch method,Launch Year,Website,Evaluation link(s),Dashboard link,Pink or Gray (for site),City Population,Hours of Operation,Budget source(s),Combined City + Program Name,Latitude,Longitude
"Albany County, NY",Albany County Crisis Officials Responding and Diverting (ACCORD),New York,ACCORD,480.0,2.0,2022.0,,Mental Health,"EMT/Paramedic/Nurse,Clinician/Social Worker",County Health Department,,2021,,http://www.albanycounty.com/legislature/accord2022,,Gray,316976,,,"Albany County, NY - Albany County Crisis Officials Responding and Diverting (ACCORD)",42.60767893,-73.97802785
"Albany County, NY",Albany County Crisis Officials Responding and Diverting (ACCORD),New York,ACCORD,480.0,2.0,2022.0,,Substance Use,"EMT/Paramedic/Nurse,Clinician/Social Worker",County Health Department,,2021,,http://www.albanycounty.com/legislature/accord2022,,Gray,316976,,,"Albany County, NY - Albany County Crisis Officials Responding and Diverting (ACCORD)",42.60767893,-73.97802785
"Albuquerque, NM",Albuquerque Community Safety - Behavioral Health Responders (BHR),New Mexico,ACS - BHR,29755.0,31.0,2024.0,$5907000,Mental Health,Clinician/Social Worker,New City Community Safety Department,9-1-1 center-led,2021,https://www.cabq.gov/acs/our-response,Q4 Report ,https://www.cabq.gov/acs/transparency,Pink,955000,Monday through Friday from 8 AM to 5 PM,,"Albuquerque, NM - Albuquerque Community Safety - Behavioral Health Responders (BHR)",35.09309273,-106.6446132
"Albuquerque, NM",Albuquerque Community Safety - Behavioral Health Responders (BHR),New Mexico,ACS - BHR,29755.0,31.0,2024.0,$5907000,Suspicious Person,Clinician/Social Worker,New City Community Safety Department,9-1-1 center-led,2021,https://www.cabq.gov/acs/our-response,Q4 Report ,https://www.cabq.gov/acs/transparency,Pink,955000,Monday through Friday from 8 AM to 5 PM,,"Albuquerque, NM - Albuquerque Community Safety - Behavioral Health Responders (BHR)",35.09309273,-106.6446132
"Albuquerque, NM",Albuquerque Community Safety - Behavioral Health Responders (BHR),New Mexico,ACS - BHR,29755.0,31.0,2024.0,$5907000,Service Connection,Clinician/Social Worker,New City Community Safety Department,9-1-1 center-led,2021,https://www.cabq.gov/acs/our-response,Q4 Report ,https://www.cabq.gov/acs/transparency,Pink,955000,Monday through Friday from 8 AM to 5 PM,,"Albuquerque, NM - Albuquerque Community Safety - Behavioral Health Responders (BHR)",35.09309273,-106.6446132
"Albuquerque, NM",Albuquerque Community Safety - Community Responders (CR),New Mexico ,ACS - CR,1620.0,2.0,2024.0,$1823000,Mental Health,Trained Civilian,New City Community Safety Department,9-1-1 center-led,2021,https://www.cabq.gov/acs/our-response,Q4 Report ,https://www.cabq.gov/acs/transparency,Pink,955000,,,"Albuquerque, NM - Albuquerque Community Safety - Community Responders (CR)",35.09309273,-106.910663
"Albuquerque, NM",Albuquerque Community Safety - Community Responders (CR),New Mexico ,ACS - CR,1620.0,2.0,2024.0,$1823000,Service Connection,Trained Civilian,New City Community Safety Department,9-1-1 center-led,2021,https://www.cabq.gov/acs/our-response,Q4 Report ,https://www.cabq.gov/acs/transparency,Pink,955000,,,"Albuquerque, NM - Albuquerque Community Safety - Community Responders (CR)",35.09309273,-106.910663
"Allegheny County, PA",A Team,Pennsylvania ,A Team,,,,$3000000,Mental Health,"Trained Civilian,Clinician/Social Worker",Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.rhd.org/program/a-team/,,,Gray,1225000,,,"Allegheny County, PA - A Team",40.46870973,-79.96966865
"Allegheny County, PA",A Team,Pennsylvania ,A Team,,,,$3000000,Service Connection,"Trained Civilian,Clinician/Social Worker",Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.rhd.org/program/a-team/,,,Gray,1225000,,,"Allegheny County, PA - A Team",40.46870973,-79.96966865
"Allegheny County, PA",A Team,Pennsylvania ,A Team,,,,$3000000,Conflict Resolution,"Trained Civilian,Clinician/Social Worker",Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.rhd.org/program/a-team/,,,Gray,1225000,,,"Allegheny County, PA - A Team",40.46870973,-79.96966865
